filename,website,task,user,label,n_rows,n_cols
caltech_t3_user18_features.csv,caltech,3,18,0,1500,8
caltech_t3_user20_features.csv,caltech,3,20,0,1500,8
caltech_t3_user26_features.csv,caltech,3,26,1,1500,8
caltech_t3_user36_features.csv,caltech,3,36,0,1500,8
caltech_t3_user9_features.csv,caltech,3,9,0,1500,8
harvard_t1_user11_features.csv,harvard,1,11,1,1500,8
harvard_t1_user17_features.csv,harvard,1,17,1,1500,8
harvard_t1_user29_features.csv,harvard,1,29,1,1500,8
harvard_t1_user31_features.csv,harvard,1,31,1,1500,8
harvard_t1_user3_features.csv,harvard,1,3,1,1500,8
harvard_t1_user4_features.csv,harvard,1,4,1,1500,8
harvard_t2_user10_features.csv,harvard,2,10,1,1500,8
harvard_t2_user25_features.csv,harvard,2,25,1,1500,8
harvard_t2_user26_features.csv,harvard,2,26,1,1500,8
harvard_t2_user2_features.csv,harvard,2,2,1,1500,8
harvard_t2_user33_features.csv,harvard,2,33,1,1500,8
harvard_t2_user36_features.csv,harvard,2,36,1,1500,8
harvard_t2_user8_features.csv,harvard,2,8,1,1500,8
harvard_t3_user24_features.csv,harvard,3,24,0,1500,8
harvard_t3_user27_features.csv,harvard,3,27,1,1500,8
harvard_t3_user28_features.csv,harvard,3,28,0,1500,8
harvard_t3_user34_features.csv,harvard,3,34,1,1500,8
harvard_t3_user7_features.csv,harvard,3,7,0,1500,8
stanford_t1_user23_features.csv,stanford,1,23,0,1500,8
stanford_t1_user27_features.csv,stanford,1,27,0,1500,8
stanford_t1_user2_features.csv,stanford,1,2,0,1500,8
stanford_t1_user33_features.csv,stanford,1,33,0,1500,8
stanford_t1_user34_features.csv,stanford,1,34,1,1500,8
stanford_t1_user8_features.csv,stanford,1,8,1,1500,8
stanford_t2_user18_features.csv,stanford,2,18,1,1500,8
stanford_t2_user1_features.csv,stanford,2,1,1,1500,8
stanford_t2_user20_features.csv,stanford,2,20,1,1500,8
stanford_t2_user24_features.csv,stanford,2,24,0,1500,8
stanford_t2_user6_features.csv,stanford,2,6,0,1500,8
stanford_t2_user7_features.csv,stanford,2,7,0,1500,8
stanford_t3_user 4_features.csv,stanford,3,4,1,1500,8
stanford_t3_user12_features.csv,stanford,3,12,1,1500,8
stanford_t3_user14_features.csv,stanford,3,14,0,1500,8
stanford_t3_user16_features.csv,stanford,3,16,0,1500,8
stanford_t3_user17_features.csv,stanford,3,17,1,1500,8
stanford_t3_user5_features.csv,stanford,3,5,1,1500,8
yale_t1_user13_features.csv,yale,1,13,1,1500,8
yale_t1_user18_features.csv,yale,1,18,1,1500,8
yale_t1_user1_features.csv,yale,1,1,1,1500,8
yale_t1_user20_features.csv,yale,1,20,1,1500,8
yale_t1_user22_features.csv,yale,1,22,1,1500,8
yale_t1_user35_features.csv,yale,1,35,1,1500,8
yale_t2_user11_features.csv,yale,2,11,0,1500,8
yale_t2_user27_features.csv,yale,2,27,1,1500,8
yale_t2_user32_features.csv,yale,2,32,1,1500,8
yale_t2_user3_features.csv,yale,2,3,1,1500,8
yale_t2_user9_features.csv,yale,2,9,1,1500,8
yale_t3_user15_features.csv,yale,3,15,1,1500,8
yale_t3_user19_features.csv,yale,3,19,0,1500,8
yale_t3_user21_features.csv,yale,3,21,1,1500,8
yale_t3_user25_features.csv,yale,3,25,1,1500,8
yale_t3_user29_features.csv,yale,3,29,1,1500,8
yale_t3_user30_features.csv,yale,3,30,0,1500,8
yale_t3_user33_features.csv,yale,3,33,1,1500,8
